Simulation,Format,Player,Wins
15,FFA_Round0,[HypE]RupeDogg,3.0
15,FFA_Round0,TM_8D,1.0
15,FFA_Round0,Darth_Revan,7.0
15,FFA_Round0,Blodir,7.0
16,FFA_Round0,NapoleonBlownapart,0.0
16,FFA_Round0,PRO_BCTV,2.0
16,FFA_Round0,StarDoM,5.0
16,FFA_Round0,[Stud]Lovish,6.0
16,FFA_Round0,[HypE]RupeDogg,0.0
16,FFA_Round0,TM_8D,6.0
16,FFA_Round0,Darth_Revan,6.0
16,FFA_Round0,Blodir,7.0
17,FFA_Round0,NapoleonBlownapart,0.0
17,FFA_Round0,PRO_BCTV,2.0
17,FFA_Round0,StarDoM,7.0
17,FFA_Round0,[Stud]Lovish,7.0
17,FFA_Round0,[HypE]RupeDogg,0.0
17,FFA_Round0,TM_8D,4.0
17,FFA_Round0,Darth_Revan,7.0
17,FFA_Round0,Blodir,5.0
18,FFA_Round0,NapoleonBlownapart,1.0
18,FFA_Round0,PRO_BCTV,3.0
18,FFA_Round0,StarDoM,9.0
18,FFA_Round0,[Stud]Lovish,1.0
18,FFA_Round0,[HypE]RupeDogg,2.0
18,FFA_Round0,TM_8D,3.0
18,FFA_Round0,Darth_Revan,8.0
18,FFA_Round0,Blodir,5.0
19,FFA_Round0,NapoleonBlownapart,2.0
19,FFA_Round0,PRO_BCTV,4.0
19,FFA_Round0,StarDoM,1.0
19,FFA_Round0,[Stud]Lovish,2.0
19,FFA_Round0,[HypE]RupeDogg,6.0
19,FFA_Round0,TM_8D,5.0
19,FFA_Round0,Darth_Revan,6.0
19,FFA_Round0,Blodir,6.0
20,FFA_Round0,NapoleonBlownapart,1.0
20,FFA_Round0,PRO_BCTV,6.0
20,FFA_Round0,StarDoM,6.0
20,FFA_Round0,[Stud]Lovish,8.0
20,FFA_Round0,[HypE]RupeDogg,0.0
20,FFA_Round0,TM_8D,3.0
20,FFA_Round0,Darth_Revan,4.0
20,FFA_Round0,Blodir,4.0
21,FFA_Round0,NapoleonBlownapart,1.0
21,FFA_Round0,PRO_BCTV,3.0
21,FFA_Round0,StarDoM,5.0
21,FFA_Round0,[Stud]Lovish,7.0
21,FFA_Round0,[HypE]RupeDogg,1.0
21,FFA_Round0,TM_8D,4.0
21,FFA_Round0,Darth_Revan,3.0
21,FFA_Round0,Blodir,8.0
22,FFA_Round0,NapoleonBlownapart,2.0
22,FFA_Round0,PRO_BCTV,3.0
22,FFA_Round0,StarDoM,3.0
22,FFA_Round0,[Stud]Lovish,3.0
22,FFA_Round0,[HypE]RupeDogg,1.0
22,FFA_Round0,TM_8D,5.0
22,FFA_Round0,Darth_Revan,7.0
22,FFA_Round0,Blodir,8.0
23,FFA_Round0,NapoleonBlownapart,1.0
23,FFA_Round0,PRO_BCTV,8.0
23,FFA_Round0,StarDoM,2.0
23,FFA_Round0,[Stud]Lovish,3.0
23,FFA_Round0,[HypE]RupeDogg,0.0
23,FFA_Round0,TM_8D,6.0
23,FFA_Round0,Darth_Revan,4.0
23,FFA_Round0,Blodir,8.0
24,FFA_Round0,NapoleonBlownapart,3.0
24,FFA_Round0,PRO_BCTV,5.0
24,FFA_Round0,StarDoM,3.0
24,FFA_Round0,[Stud]Lovish,3.0
24,FFA_Round0,[HypE]RupeDogg,3.0
24,FFA_Round0,TM_8D,1.0
24,FFA_Round0,Darth_Revan,4.0
24,FFA_Round0,Blodir,10.0
25,FFA_Round0,NapoleonBlownapart,3.0
25,FFA_Round0,PRO_BCTV,6.0
25,FFA_Round0,StarDoM,2.0
25,FFA_Round0,[Stud]Lovish,1.0
25,FFA_Round0,[HypE]RupeDogg,2.0
25,FFA_Round0,TM_8D,6.0
25,FFA_Round0,Darth_Revan,7.0
25,FFA_Round0,Blodir,5.0
26,FFA_Round0,NapoleonBlownapart,1.0
26,FFA_Round0,PRO_BCTV,7.0
26,FFA_Round0,StarDoM,5.0
26,FFA_Round0,[Stud]Lovish,1.0
26,FFA_Round0,[HypE]RupeDogg,2.0
26,FFA_Round0,TM_8D,4.0
26,FFA_Round0,Darth_Revan,8.0
26,FFA_Round0,Blodir,4.0
27,FFA_Round0,NapoleonBlownapart,1.0
27,FFA_Round0,PRO_BCTV,5.0
27,FFA_Round0,StarDoM,2.0
27,FFA_Round0,[Stud]Lovish,5.0
27,FFA_Round0,[HypE]RupeDogg,4.0
27,FFA_Round0,TM_8D,6.0
27,FFA_Round0,Darth_Revan,2.0
27,FFA_Round0,Blodir,7.0
28,FFA_Round0,NapoleonBlownapart,2.0
28,FFA_Round0,PRO_BCTV,5.0
28,FFA_Round0,StarDoM,6.0
28,FFA_Round0,[Stud]Lovish,2.0
28,FFA_Round0,[HypE]RupeDogg,0.0
28,FFA_Round0,TM_8D,4.0
28,FFA_Round0,Darth_Revan,8.0
28,FFA_Round0,Blodir,5.0
29,FFA_Round0,NapoleonBlownapart,0.0
29,FFA_Round0,PRO_BCTV,5.0
29,FFA_Round0,StarDoM,8.0
29,FFA_Round0,[Stud]Lovish,2.0
29,FFA_Round0,[HypE]RupeDogg,1.0
29,FFA_Round0,TM_8D,7.0
29,FFA_Round0,Darth_Revan,3.0
29,FFA_Round0,Blodir,6.0
30,FFA_Round0,NapoleonBlownapart,2.0
30,FFA_Round0,PRO_BCTV,2.0
30,FFA_Round0,StarDoM,3.0
30,FFA_Round0,[Stud]Lovish,7.0
30,FFA_Round0,[HypE]RupeDogg,2.0
30,FFA_Round0,TM_8D,3.0
30,FFA_Round0,Darth_Revan,7.0
30,FFA_Round0,Blodir,6.0
31,FFA_Round0,NapoleonBlownapart,3.0
31,FFA_Round0,PRO_BCTV,5.0
31,FFA_Round0,StarDoM,9.0
31,FFA_Round0,[Stud]Lovish,1.0
31,FFA_Round0,[HypE]RupeDogg,0.0
31,FFA_Round0,TM_8D,4.0
31,FFA_Round0,Darth_Revan,4.0
31,FFA_Round0,Blodir,6.0
32,FFA_Round0,NapoleonBlownapart,3.0
32,FFA_Round0,PRO_BCTV,2.0
32,FFA_Round0,StarDoM,5.0
32,FFA_Round0,[Stud]Lovish,3.0
32,FFA_Round0,[HypE]RupeDogg,8.0
32,FFA_Round0,TM_8D,2.0
32,FFA_Round0,Darth_Revan,7.0
32,FFA_Round0,Blodir,2.0
33,FFA_Round0,NapoleonBlownapart,1.0
33,FFA_Round0,PRO_BCTV,7.0
33,FFA_Round0,StarDoM,6.0
33,FFA_Round0,[Stud]Lovish,0.0
33,FFA_Round0,[HypE]RupeDogg,2.0
33,FFA_Round0,TM_8D,6.0
33,FFA_Round0,Darth_Revan,6.0
33,FFA_Round0,Blodir,4.0
34,FFA_Round0,NapoleonBlownapart,0.0
34,FFA_Round0,PRO_BCTV,6.0
34,FFA_Round0,StarDoM,3.0
34,FFA_Round0,[Stud]Lovish,4.0
34,FFA_Round0,[HypE]RupeDogg,0.0
34,FFA_Round0,TM_8D,2.0
34,FFA_Round0,Darth_Revan,11.0
34,FFA_Round0,Blodir,6.0
35,FFA_Round0,NapoleonBlownapart,1.0
35,FFA_Round0,PRO_BCTV,9.0
35,FFA_Round0,StarDoM,4.0
35,FFA_Round0,[Stud]Lovish,4.0
35,FFA_Round0,[HypE]RupeDogg,0.0
35,FFA_Round0,TM_8D,5.0
35,FFA_Round0,Darth_Revan,4.0
35,FFA_Round0,Blodir,5.0
36,FFA_Round0,NapoleonBlownapart,1.0
36,FFA_Round0,PRO_BCTV,3.0
36,FFA_Round0,StarDoM,3.0
36,FFA_Round0,[Stud]Lovish,1.0
36,FFA_Round0,[HypE]RupeDogg,2.0
36,FFA_Round0,TM_8D,7.0
36,FFA_Round0,Darth_Revan,8.0
36,FFA_Round0,Blodir,7.0
37,FFA_Round0,NapoleonBlownapart,2.0
37,FFA_Round0,PRO_BCTV,6.0
37,FFA_Round0,StarDoM,0.0
37,FFA_Round0,[Stud]Lovish,2.0
37,FFA_Round0,[HypE]RupeDogg,4.0
37,FFA_Round0,TM_8D,4.0
37,FFA_Round0,Darth_Revan,8.0
37,FFA_Round0,Blodir,6.0
38,FFA_Round0,NapoleonBlownapart,0.0
38,FFA_Round0,PRO_BCTV,6.0
38,FFA_Round0,StarDoM,3.0
38,FFA_Round0,[Stud]Lovish,6.0
38,FFA_Round0,[HypE]RupeDogg,2.0
38,FFA_Round0,TM_8D,1.0
38,FFA_Round0,Darth_Revan,5.0
38,FFA_Round0,Blodir,9.0
39,FFA_Round0,NapoleonBlownapart,1.0
39,FFA_Round0,PRO_BCTV,6.0
39,FFA_Round0,StarDoM,7.0
39,FFA_Round0,[Stud]Lovish,2.0
39,FFA_Round0,[HypE]RupeDogg,1.0
39,FFA_Round0,TM_8D,8.0
39,FFA_Round0,Darth_Revan,6.0
39,FFA_Round0,Blodir,1.0
40,FFA_Round0,NapoleonBlownapart,0.0
40,FFA_Round0,PRO_BCTV,1.0
40,FFA_Round0,StarDoM,3.0
40,FFA_Round0,[Stud]Lovish,7.0
40,FFA_Round0,[HypE]RupeDogg,4.0
40,FFA_Round0,TM_8D,6.0
40,FFA_Round0,Darth_Revan,4.0
40,FFA_Round0,Blodir,7.0
41,FFA_Round0,NapoleonBlownapart,3.0
41,FFA_Round0,PRO_BCTV,9.0
41,FFA_Round0,StarDoM,2.0
41,FFA_Round0,[Stud]Lovish,2.0
41,FFA_Round0,[HypE]RupeDogg,0.0
41,FFA_Round0,TM_8D,6.0
41,FFA_Round0,Darth_Revan,4.0
41,FFA_Round0,Blodir,6.0
42,FFA_Round0,NapoleonBlownapart,5.0
42,FFA_Round0,PRO_BCTV,6.0
42,FFA_Round0,StarDoM,2.0
42,FFA_Round0,[Stud]Lovish,3.0
42,FFA_Round0,[HypE]RupeDogg,0.0
42,FFA_Round0,TM_8D,3.0
42,FFA_Round0,Darth_Revan,9.0
42,FFA_Round0,Blodir,4.0
43,FFA_Round0,NapoleonBlownapart,2.0
43,FFA_Round0,PRO_BCTV,4.0
43,FFA_Round0,StarDoM,3.0
