Player,Duel_Skill,FFA_Skill
NapoleonBlownapart,34.21,26.33
PRO_BCTV,53.30,20.59
StarDoM,45.83,84.95
[Stud]Lovish,43.66,41.27
[HypE]RupeDogg,37.53,20.38
TM_8D,50.18,64.32
Darth_Revan,61.60,101.64
Blodir,58.70,46.91
